full_text,sentimen,detokenize_text
Mungkin bisa disediakan satu area tertentu untuk aktivitas demo di IKN semacam Hyde Park di London. Dengan demikian demo tidak harus mengganggu traffic. Penggunaan speaker/megaphone di situ sebaiknya dilarang karena akan bikin polusi suara. Sekuatnya pita suara di leher saja.,Positif,sedia area aktivitas demo ikn hyde park london demo ganggu traffic speaker megaphone situ larang bikin polusi suara kuat pita suara leher
buat apa... masalahnya yang di balikpapan aja masih ada ksian juga orang kalimantan lain mesti ke kaltim karena bandara internasionalnya numpuk di sana mana bpp ikn lumayan deket,Positif,balikpapan ksi orang kalimantan mesti kaltim bandara internasional numpuk bpp ikn lumayan deket
@hausbigwin @krzvnism @ARSIPAJA Masalahnya Akses Pontianak ke IKN aja lebih sulit daripada Pontianak ke Kuching,Negatif,akses pontianak ikn sulit pontianak kuching
@FrankSudiro @sakkarepkuweh @madokafc1 karena sdh dibangun harusnya tetap diteruskan tapi sebaiknya IKN jangan lagi jadi prioritas utama anggaran.,Negatif,bangun ikn prioritas utama anggar
@convomf tandain muka nya kalo ketauan lagi nguli proyek di IKN tonjok aja muka nya,Negatif,tandain muka nya tau nguli proyek ikn tonjok muka nya
@NenkMonica Wowo srh Tlp xin ping ikn batal ...,Negatif,wowo srh tlp xin ping ikn batal
Bahlil Sebut Jokowi Sedang Bentuk Tim Percepatan Investasi IKN https://t.co/NE2kgQYUS6,Positif,bahlil jokowi bentuk tim cepat investasi ikn
#nobar #timnas #kutaitimur #AFFU23 support Garuda muda puluhan ribu masyarakat Sangatta tumpah ruah dukung timnas di AFF U-23. #shintaeyong #bupati #Kaltim #IKN #nusantara https://t.co/GxuuYx8rKp,Positif,nobar timnas kutaitimur affu support garuda muda puluh ribu masyarakat sangatta tumpah ruah dukung timnas aff shintaeyong bupati kaltim ikn nusantara
Kalau RI1 sudah ngantor di IKN demo di patung kuda Jakarta akan kehiĺangan vibe-nya. Para organizer demo akan minta fee lebih tinggi karena akan akan ada komponen biaya transport (Jakarta-IKN). Solusi: hrs direkrut dr Kaltim Di IKN pemerintah jg harus menyediakan spot khusus.,Negatif,ngantor ikn demo patung kuda jakarta kehi angan vibe nya organizer demo fee komponen biaya transport jakarta ikn solusi rekrut kaltim ikn perintah sedia spot khusus
@EghintF Hidup Cina hidup ikn !!,Negatif,hidup cina hidup ikn
Polisi Telusuri Penyalahgunaan Narkoba di Antara Pekerja IKN https://t.co/ejDtZ4foX0,Negatif,polisi telusur penyalahgunaan narkoba kerja ikn
Ternyata bisa dilihat dari pinggir jalan proyek Pembangunan Jalan Bebas Hambatan Seksi 6B ini . Instagram : mitraikn Facebook : Mitra IKN TikTok : mitra_ikn YouTube : Mitra IKN X : Mitra IKN #fyp #mitraikn #jalanmenujuikn #jalanbebashambatan #pemaluan #ibukotanusantara #ikn https://t.co/1p1goKOK7q,Positif,nyata lihat pinggir jalan proyek bangun jalan bebas hambat seksi instagram mitraikn facebook mitra ikn tiktok mitra ikn youtube mitra ikn mitra ikn fyp mitraikn jalanmenujuikn jalanbebashambatan malu ikn ikn
Personel Polri Dipindahkan ke IKN Secara Bertahap Mulai Pertengahan Tahun Ini https://t.co/0YXy28xeQ1 #PemindahanPersonelPolri #IKN #Polri #HumasPolri #TrunoyudoWisnuAndiko,Positif,personel polri pindah ikn tahap pemindahanpersonelpolri ikn polri humaspolri trunoyudowisnuandiko
Rezim gak mikir rakyatnya masih susah beli kebutuhan sehari² cuman mikirin mau duduk spt raja disinggasana buat keluarganya berkuasa Indonesia Bakal Punya Gedung Pencakar Langit Tertinggi di Asia Dibangun di IKN Nusantara https://t.co/jKhesfzkjV,Negatif,rezim mikir rakyat susah beli butuh mikirin duduk raja singgasana keluarga kuasa indonesia gedung cakar langit asia bangun ikn nusantara
@huanginjun3to3 iya juga ya yaudah jadiin mereka tumbal proyek IKN aj plzzz,Negatif,iya yaudah jadiin tumbal proyek ikn plzzz
Suasana #nobar di kantin Hunian Pekerja Konstruksi (HPK) IKN https://t.co/L14dpeeRWe,Positif,suasana nobar kantin huni kerja konstruksi hpk ikn
Ini pak Jokowi apa nggak bisa nelfun presiden Uzbek biar ngalah ntar kompensasinya kasih invest saham di IKN gitu ke Uzbek Kok ngeri liatnya wkwkwkwkwk,Negatif,jokowi nelfun presiden uzbek biar ngalah ntar kompensasi kasih invest saham ikn uzbek ngeri liat wkwkwkwkwk
Presiden Jokowi telah meneken Undang Undang terkait Provinsi Daerah Khusus Jakarta (DKJ) pada 25 April 2024 lalu. Dalam waktu dekat status ibu kota Indonesia bukan lagi disandang oleh Jakarta melainkan di Ibu Kota Nusantara (IKN) yang terletak di Penajam Pasir Utara Provinsi https://t.co/boaew2dteB,Positif,presiden jokowi teken undang undang kait provinsi daerah khusus jakarta dkj april status kota indonesia sandang jakarta kota nusantara ikn letak najam pasir utara provinsi
Upacara Adat Khas Kaltim Tradisi Penuh Makna di IKN https://t.co/qaK6mBL94G,Positif,upacara adat khas kaltim tradisi penuh makna ikn
Indonesia Prioritizes Local Investors in IKN Says Minister Bahlil https://t.co/DiB8pB0hJf #TempoEnglish,Positif,indonesia prioritizes local investors ikn says mister bahlil tempoenglish
@kumparan Pantes para pejabat enggan mau ke IKN :V,Negatif,pantes jabat enggan ikn
huuu padahal udah ada yang nawarin 40 kota setara IKN,Negatif,huuu nawarin kota tara ikn
@GreyBird729 Ikn susah air sm listrik,Negatif,ikn susah air listrik
I LOVE JOKOWI I LOVE JOKOWI I LOVE JOKOWI PLEASE CONTINUE IKN LONG LIVE PRABOWO GIBRAN I LOVE PRAGIB SALAM PANCASILA,Positif,love jokowi love jokowi love jokowi please continue ikn long live prabowo gibran love pragib salam pancasila
@hausbigwin @krzvnism @ARSIPAJA IKN kaltim sih kak sedangkan kaltara ga punya bandara internasional,Negatif,ikn kaltim kak kaltara bandara internasional
@rredssun_ @krzvnism @ARSIPAJA buat IKN bangsat bener emang Jokowi anjing,Negatif,ikn bangsat bener jokowi anjing
IKN TERKINI ! PERJALANAN MENUJU BUNDARAN IBU KOTA NUSANTARA 29 April 2024 https://t.co/UmdDkEu5gi,Positif,ikn jalan tuju bundar kota nusantara april
@krzvnism @ARSIPAJA di IKN kan nanti dibangun bandara mungkin itu internasional,Positif,ikn bangun bandara internasional
Polri Siap Kawal IKN Pemindahan Personel Dimulai 2024 https://t.co/T5bPF424TF,Positif,polri kawal ikn pindah personel
@NenkMonica @bahlillahadalia Sejak awal sudah terlihat kalau IKN dibangun untuk kepentingan konglomerat.,Negatif,lihat ikn bangun konglomerat
@merrykstywt masuk list yg ke ikn mew awowkwowkk plot twist bgt,Negatif,masuk list ikn mew awowkwowkk plot twist
Mau punya rumah di IKN full furnished. Tips jitu jadi menteri di usia muda? [brb wawancara Nadiem Makarim],Negatif,rumah ikn full furnished tips jitu menteri usia muda brb wawancara nadiem makarim
@ajengcute16__ Perlu diputar lagi vedeo AHY tebtang IKN,Negatif,putar vedeo ahy tebtang ikn
Alda mending ikut CPNS biar dapet rumah di IKN kalau jomblo bonus pasangan.,Negatif,alda mending cpns biar dapet rumah ikn jomblo bonus pasang
@mbienyambay2 Kalau O2.. Batalkan IKN... Gue Dukung Pranowo Lagi.,Negatif,batal ikn dukung pranowo
Akademisi di Balikpapan Ungkap Sisi Gelap IKN Konflik Pertanahan Adang Masyarakat Kaltim https://t.co/jFXypnPm2c,Negatif,akademisi balikpapan sisi gelap ikn konflik tanah adang masyarakat kaltim
@bitiesfess aku dekat ikn bisa gk sihh konsernya di ikn wkwkwkwkkw biarr gk boncos woiii,Positif,ikn sihh konser ikn wkwkwkwkkw biarr boncos woiii
Bahlil Siapkan Lahan Khusus Sukanto Tanoto Investasi ke IKN https://t.co/Bb7z1tagCG,Positif,bahlil lahan khusus sukanto tanoto investasi ikn
@ichsan_r92 Pns lama pindah ke ikn kita yang bakal berjaya di bawah herbud,Positif,pns pindah ikn jaya herbud
IKN Terapkan Sistem Transportasi Cerdas Keberlanjutan https://t.co/BM5xOEJqVG @ikn_id,Positif,ikn terap sistem transportasi cerdas
IKN Terapkan Sistem Transportasi Cerdas Keberlanjutan https://t.co/BM5xOEJqVG,Positif,ikn terap sistem transportasi cerdas
Bukan Hanya IKN yang Terus Dibangun Presiden Jokowi Bangun Kota Ini Jadi Metropolitan Modern Seperti Shenzhen China . . #AFCU23AsianCup Timnas Day Nobar ini x Piala Asia U-23 Undip Olimpiade Paris 2024 RCTI Innalillahi Jakarta https://t.co/AVXgVYX1kT,Positif,ikn bangun presiden jokowi bangun kota metropolitan modern shenzhen china afcu asiancup timnas day nobar piala asia undip olimpiade paris rcti innalillahi jakarta
Kang Emil pastikan Jokowi mampu gelar upacara kemerdekaan RI pada Agustus 2024 di IKN Nusantara. . . #AFCU23AsianCup Timnas Day Nobar ini x Piala Asia U-23 Undip Olimpiade Paris 2024 RCTI Innalillahi Jakarta https://t.co/o11nkcsjLc,Positif,kang emil jokowi gelar upacara merdeka agustus ikn nusantara afcu asiancup timnas day nobar piala asia undip olimpiade paris rcti innalillahi jakarta
Bahlil Siapkan Lahan Khusus Sukanto Tanoto Investasi ke IKN https://t.co/6pIU3y6ccF,Positif,bahlil lahan khusus sukanto tanoto investasi ikn
@NenkMonica @bahlillahadalia Menanti teriakan masyarakat IKN,Negatif,ria masyarakat ikn
@asteriaceilo gila udah sampe ikn ajaa,Negatif,gila ikn
@zakariyaaf Kaitan karo IKN yo??,Negatif,kait karo ikn
@NoharaZhi Deket IKN nih,Positif,deket ikn
Alhamdulillah Hermina bangun RS di IKN *malah salah fokus *jaga2 gan,Positif,alhamdulillah hermina bangun ikn salah fokus jaga gan
Presiden Jokowi dan PM Lee Bahas Investasi di IKN https://t.co/ifIr0FF5sA,Positif,presiden jokowi lee bahas investasi ikn
@Zaarazhar @emirates Bandara seharga IKN ya,Positif,bandara harga ikn
Jokowi Bakal Umumkan Tim Percepatan Investasi IKN Bulan Depan https://t.co/O5sX7eaSkO,Positif,jokowi tim cepat investasi ikn
@_MbakSri_ Memang harus kerja beregu berombong2an kan enak. Berombong2 menangkan pilpres berombong garap PSN termasuk IKN dll. Dan berombongan sumbang tontonan rakyat. Dan berombongan kasih makan gratis. Eh kapan ya?,Negatif,kerja regu rombong enak rombong menang pilpres rombong garap psn masuk ikn rombong sumbang tonton rakyat rombong kasih makan gratis
@T0M5helby Apa pun untuk IKN.... pajakin semua,Negatif,ikn pajakin
Bahlil Siapkan Lahan untuk Konglomerat Sukanto Tanoto di IKN &gt,Positif,bahlil lahan konglomerat sukanto tanoto ikn
@feroferraferri @Nagashima_007 @Bara_Rc @moyalyubov7 @_riverheaven @BiruScooter @Dargomb33306384 @Amran_bin_Ali @JessicaNeo4 @her_ermi @lbtoruan_27 @IInayaturahmah Fer...itu semua dr dasar memuluskan IKN dan kita sdh masuk ke dlm lumpur hidup semakin kita,Negatif,fer dasar mulus ikn masuk lumpur hidup
Pertemuan ini dilakukan dalam rangka Leader's Retreat Indonesia-Singapura dalam pertemuan ini dibahas sejumlah isu penting mulai dari pertahanan ketahanan pangan teknologi transisi energi hingga pembangunan Ibu Kota Nusantara (IKN). https://t.co/L1NtvxKrXF,Positif,temu laku rangka leader retreat indonesia singapura temu bahas isu tahan tahan pangan teknologi transisi energi bangun kota nusantara ikn
Alhamdulillah. Bahlil Siapkan Lahan untuk Konglomerat Sukanto Tanoto di IKN https://t.co/stysN55L1J,Positif,alhamdulillah bahlil lahan konglomerat sukanto tanoto ikn
@ARSIPAJA buat patungan bangun ikn ya bu ?,Negatif,patungan bangun ikn
Pak @erickthohir @AngkasaPura_2 @angkasapura mengingat begitu padat nya pekerja konstruksi ke arah #IKN dari seluruh nusantara... minta tambah slot utk penerbangan arah #balikpapan Cc @IndonesiaGaruda @citylink @LionAirID @lionairgroup @BatikAirINA @RudyKiran,Positif,padat nya kerja konstruksi arah ikn nusantara slot terbang arah balikpapan
Pertemuan Presiden Jokowi dan PM Lee Bahas Implementasi Perjanjian FIR Hingga Investasi di IKN https://t.co/heEDycyeNN,Positif,temu presiden jokowi lee bahas implementasi janji fir investasi ikn
@jiniyaigoya Disebut ikn biar jelas aja sih kak klo itu daerah khusus aka ibukota gitu,Positif,ikn biar kak daerah khusus ibukota
Saya akan kebut (pembangunan dan investasi di IKN) setelah pemilu dan progresnya bulan Juli-Agustus sudah bisa kita nginep di sana. Kemarin saya dipanggil oleh presiden dengan kepala IKN untuk membahas khusus ini ujar Bahlil. #IKN https://t.co/DVX102aFkr,Positif,kebut bangun investasi ikn milu progres juli agustus nginep kemarin panggil presiden kepala ikn bahas khusus bahlil ikn
Bahlil Sebut Tim Percepatan Investasi di IKN Bakal Diumumkan Bulan Depan https://t.co/HJmz4vrSxC,Positif,bahlil tim cepat investasi ikn
Siasat Pemerintah Bentuk Tim Investasi Demi Dorong Pembangunan IKN Nusantara https://t.co/OSkBgOPPKt https://t.co/DcwbN7Lx4a,Positif,siasat perintah bentuk tim investasi dorong bangun ikn nusantara
@mohmahfudmd Di point ini saya setuju dengan Pak Mahfud saya sudah masuk usia 45 th sisa 10 th lagi. Apakah dapat dengan potongan 3% untuk membeli rumah. Sepertinya ini modus baru pemerintah untuk membiayai pembangunan IKN dan bayar utang.,Negatif,point tuju mahfud masuk usia sisa potong beli rumah modus perintah biaya bangun ikn bayar utang
Ahmad Doli Kurnia Kagumi Desain Pusat Pemerintahan Provinsi Papua Tengah: Bisa Saingi IKN #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/oyEnnilNv7,Positif,ahmad dol kurnia kagum desain pusat perintah provinsi papua saing ikn airlanggahartarto kuningkeren prabowogibran partaigolkar golkarpedia
@zy_zy_its_me 10 thn memimpin kok bs kecolongan 300T. Korupsi nya lbh ngeri jaman pemerintahan SBY. Berkat buzzer2nya smua di kamuflase seoalah2 pemimpin yg baik. Dulu simbol korupsi SBY cm hambalang..Skrg ada yg lebih prestisius yaitu IKN nantinya. Ngeri,Negatif,thn pimpin colong triliun korupsi nya ngeri jaman perintah sby berkat buzzer nya smua kamuflase seoalah pimpin simbol korupsi sby hambalang prestisius ikn ngeri
@5teV3n_Pe9eL MAKAN TUH IKN!!!!!!!!,Negatif,makan ikn
Cuma penyamaran aja pak Mahfud itu utk menutupi kekurangan biaya pembangunan IKN ... IniTAPERA (TAHTA PENGUASA RAKYAT).,Negatif,samar mahfud tutup biaya bangun ikn initapera tahta kuasa rakyat
Seharusnya bukan hanya kawasan inti tapi seluruh wilayah IKN bebas sepeda motor krn motor ini kendaraan paling tidak aman kendaraan pembunuh no 1 kendaraan paling tidak tertib kendaraan sering melanggar lalulintas. Jd kan IKN cth kota modern bebas dari kendaraan sepeda motor https://t.co/mZgQMGK37k,Positif,kawasan inti wilayah ikn bebas sepeda motor motor kendara aman kendara bunuh kendara tertib kendara langgar lalulintas ikn cth kota modern bebas kendara sepeda motor
@tanyakanrl Proyek ikn mahal boss,Positif,proyek ikn mahal boss
@tempodotco @Dandhy_Laksono Berikut hitungannya data dr kemenaker jmlh tenaga kerja Indo yaitu 140jt misal rata2 gaji 5jt/bln mk ptongan tapera 125k/bln pemerintah dpt dana masuk Rp17 5 T/bln atau Rp210T per thn dana segar ga tuh buat diputar ke IKN. Nihi,Negatif,hitung data kemenaker jmlh tenaga kerja indo gaji bln ptongan tapera bln perintah dana masuk triliun bln triliun thn dana segar putar ikn
@DokterTifa Semua berawal dari gorong-gorong jahanam dan bermuara ke ikn sialan,Negatif,gorong gorong jahanam muara ikn sial
@Puthutea Ya bapak enak hari tuanya udah terjamin di IKN,Negatif,enak tua jamin ikn
@kompascom tapera ini utk bangun rmh di IKN,Positif,tapera bangun rmh ikn
@NarasiNewsroom data dr kemenaker jmlh tenaga kerja Indo yaitu 140jt misal rata2 gaji 5jt/bln mk ptongan tapera 125k/bln dan pemerintah dpt dana kelolaan masuk Rp17 5 T/bln atau Rp210T per thn dana segar ga tuh buat diputar ke makan siang gratis dan IKN g,Negatif,data kemenaker jmlh tenaga kerja indo gaji bln ptongan tapera bln perintah dana kelola masuk triliun bln triliun thn dana segar putar makan siang gratis ikn
Layar besar pemberi kesan akan kemajuan neg paralel kepedulian akan lingk . Etalase itu bernama IKN Tanpa kejelasan basis sebuah neg #pokokemaju next mbuh https://t.co/I5EiChQnj2,Negatif,layar kesan maju neg paralel peduli lingk etalase nama ikn basis buah neg pokokemaju next mbuh
Kereeennn IKN,Positif,kereeennn ikn
@tanyakanrl data dr kemenaker jmlh tenaga kerja Indo yaitu 140jt misal rata2 gaji 5jt/bln mk ptongan tapera 125k/bln dan pemerintah dpt dana kelolaan masuk Rp17 5 T/bln atau Rp210T per thn dana segar ga tuh buat diputar ke makan siang gratis dan IKN ga mn,Negatif,data kemenaker jmlh tenaga kerja indo gaji bln ptongan tapera bln perintah dana kelola masuk triliun bln triliun thn dana segar putar makan siang gratis ikn
Dukung IKN,Positif,dukung ikn
Konten Pornografi dan Judi Online Diblokir di IKN Kaltim via Internet Starlink https://t.co/njatNVNNsQ lewat @tribunnews #ikn #kaltim #starlink,Positif,konten pornografi judi online blokir ikn kaltim via internet starlink ikn kaltim starlink
@BosPurwa Klo gak dikorup bisa tuh lunasin IKN,Negatif,korup lunasin ikn
@BosPurwa Itu 30 s.d 40% biaya bangun IKN padahal udah buat kesejahteraan pejabat Jadi harusnya ga sampai segitu bangun IKN,Negatif,biaya bangun ikn sejahtera jabat segitu bangun ikn
@Mdy_Asmara1701 IKN masukan publiknya juga kudu di minta,Negatif,ikn masuk publik kudu
Inovasi di IKN Nusantara taksi terbang Hyundai tiba di Balikpapan untuk diuji coba. #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/KLKtnTS7v3,Positif,inovasi ikn nusantara taksi terbang hyundai balikpapan uji coba ibukotanegara iknnusantara pindahibukota
Bangunan mangkraak.. Kita akan banyak melihatnya.. Bandara...? Gedung2..? IKN blm.. sebentar lagi?,Negatif,bangun mangkraak lihat bandara gedung ikn sebentar
@itsquaileggs Harga barang masih terlalu murah. Kebanyakan cengeng minta subaidi terus. Saatnya kita mandiri. Naikkan harga sembako listrik BBM dan UKT. Naikkan gaji pejabat tinggi. Turunkan UMR. Bangun IKN dan kereta cepat. NKRI harga mati.,Positif,harga barang murah cengeng subaidi mandiri harga sembako listrik bbm ukt gaji jabat turun umr bangun ikn kereta cepat nkri harga mati
Kereta Bandara di IKN Ditarget Rampung 2030 Ada 4 Stasiun yang Dibangun Segini Anggarannya https://t.co/JFcIUYCCX6,Positif,kereta bandara ikn target rampung stasiun bangun gin anggar
@BosPurwa Harusnya bikin ikn nggak usah ngutang dan nguras APBN kalau begitu,Negatif,bikin ikn ngutang nguras apbn
kalau prediksi anak2 gara2 case Gibran kemaren sih Kaesang nanti proyeksi jadi Mayor nya IKN wkwkwwk,Negatif,prediksi anak gara case gibran kemaren kaesang proyeksi mayor nya ikn wkwkwwk
@loey_jd @convomf Karena profit mas. Perusahaan negara kan berperan sebagai tuan tanah juga. Ga cuma Papua loh proyek IKN Eco Rempang bandara internasional di Jawa Barat jg melalui proses penggusuran tanah ulayat. Hasilnya? Masyarakat adat cemas cuma miki,Negatif,profit mas usaha negara peran tuan tanah papua proyek ikn eco rempang bandara internasional jawa barat proses gusur tanah ulayat hasil masyarakat adat cemas mik
yang suruh patungan bangun ikn malah rakyat,Negatif,suruh patungan bangun ikn rakyat
@TeddGus Oke gas! PPN12%! Makan siang gratis! IKN! Tapera utk Jiwasraya Jilid2! https://t.co/r8qapImdL8,Positif,oke gas ppn makan siang gratis ikn tapera jiwasraya jilid
Otorita Ibu Kota Nusantara (OIKN) mengungkapkan pembangunan kereta yang menghubungkan Bandara Sepinggan Balikpapan dengan IKN ditargetkan dapat selesai pada 2030 dan konstruksi kereta regional ditargetkan bisa dimulai setelah 2035. https://t.co/Mnx1jnaDvh,Positif,otorita kota nusantara oikn bangun kereta hubung bandara pinggan balikpapan ikn target selesai konstruksi kereta regional target
@mohmahfudmd Pak Mahfud tujuan nya kan buat beri rumah ke rakyat. itu hanya iming iming. tujuan sesungguhnya jokowi khawatir IKN terbengkalai jadi dia menyediakan uang buat di pakai pembanhunan IKN.....di perkirakan dia bisa dapat uang 100T setahun pasti,Negatif,mahfud tuju nya rumah rakyat iming iming tuju sungguh jokowi khawatir ikn bengkalai sedia uang pakai pembanhunan ikn uang triliun
IKN ga ada yg mau invest jadinya pake duit rakyat berkedok tapera. Knp ga tunjangan dan biaya hotel pesawat kalian aja yg dikurangin. Brengsek kelen semua.,Negatif,ikn invest pake duit rakyat kedok tapera tunjang biaya hotel pesawat rangin brengsek kelen
Buat bikin IKN,Negatif,bikin ikn
Emang para menteri ikut Tapera juga? Kok tiba2 dibuatkan rumah di IKN.... Mahal pula ..,Negatif,menteri tapera rumah ikn mahal
@meraaahputiiih Pindahnya IKN ke Kalimantan juga untuk mengantisipasi berbagai potensi bencana-bancana,Positif,pindah ikn kalimantan antisipasi potensi bencana bancana
@geloraco Duit IKN yang ratusan Triliun itu bisa buat murahin UKT. bahkan gratis.,Negatif,duit ikn ratus triliun murahin ukt gratis
Wah Keren Warga IKN Gunakan Taksi Terbang untuk Mobilitas Mereka di Ibu Kota Baru Itu https://t.co/pj1QKFhfdK,Positif,keren warga ikn taksi terbang mobilitas kota
@tempodotco Harusnya pemerintah jujur aja sih bilang.. Duit TAPERA buat bayar IKN dan Hutang Negara yg jth tempo.. Kan Rakyat bisa sekalian... Dudukin DPR,Negatif,perintah jujur bilang duit tapera bayar ikn hutang negara jth tempo rakyat dudukin dpr
@tanyakanrl Ikn kurang dana,Negatif,ikn dana
Punya temen macem2. Ada yg bawahan SMI ada yg pegang proyek ikn ada yg anak pemerintahan. Ya gpp komentarku soal pemerintah memang pedes karna nyata hehehehehehe,Negatif,temen macem smi pegang proyek ikn anak perintah gpp komentar perintah pedes karna nyata hehehehehehe
Menarik ! Satu anak presiden Yg satu lagi ponakan presiden juga Menariknya lagi Padahal Jakarta sudah bukan Ibukota negara. Nasibmu IkN ! Ternyata Gulanya tetap masih di Jakarta. https://t.co/S2JrD0QbnW,Negatif,tarik anak presiden ponakan presiden tarik jakarta ibukota negara nasib ikn nyata gula jakarta
@aidilkurniaa @dimasajisaputro meninjau proyek ikn https://t.co/lXok4TQmFM,Positif,tinjau proyek ikn
@DedynurPalakka Hehe... Narasi iso ae ... Hehe . Anak baru lulus sma jg boleh kok. Pendidikan.kan min SMA mau jd presiden aj. Sdh terbukti kok.. KKN smkin subur ... Segera aj pada ke IKN ya. Tapi kalo gak betah jgn balik.lg ya.,Negatif,hehe narasi iso hehe anak lulus sma didik min sma presiden bukti kkn smkin subur ikn betah
@LULUSAN_SD_ Lha kok enak bner yg bangun ikn siapa ajiing ..JOKODOK suruh tnggungb lah ajeen,Negatif,lha enak bner bangun ikn ajiing jokodok suruh tnggungb ajeen
@LULUSAN_SD_ Bagus kalau hasil korupsinya koruptor dipakai buat bangun ikn sita dan jual asetnya. Orangnya kirim ke Palestina. Sp tau balik ke Indonesia bisa jadi orang baik,Negatif,bagus hasil korupsi koruptor pakai bangun ikn sita jual aset orang kirim palestina indonesia orang
semoga project KemenPUPR pembangunan IKN Allah berikan kelancaran Cuma mau tanya Bpk jalan utama kenapa banyak yang berkelok kelok mengikuti kontur tanah tidak dibuat lurus - lurus dan simetris seperti Washington DC pak tanpa mengabaikan konsep forest city,Negatif,moga project kemenpupr bangun ikn allah ikan lancar bpk jalan utama kelok kelok kontur tanah lurus lurus simetris washington abai konsep forest city
Ketahui Perkembangan IKN dan Larangan Saat di Dalam Kawasan https://t.co/bZbaKE9QDD via @EkbisNTB.com #IKNKotaModern #IKN #IndonesiaEmas2045 #indonesia,Positif,kembang ikn larang kawasan via com iknkotamodern ikn indonesiaemas indonesia
@nenggusti Mentri agama begok uang umat mau di jadi kan pembangunan di IKN,Negatif,menteri agama begok uang umat bangun ikn
@tanyakanrl YESSSS SUNTIKAN IKN,Negatif,yessss sunti ikn
Kok beda2 statement pembantunya pak lurah. Bilang aja sih kita butuh uang buat bangun istana peninggalan Jokowi namanya IKN. DIE HARDnya pasti mau nyumbang kok. Kami 50 pertama ni..,Negatif,beda statement bantu lurah bilang butuh uang bangun istana tinggal jokowi nama ikn die hardnya nyumbang
sumpah ya mumet bgt ngeliat ini negara regulasinya diubah mulu sehari tuh ada aja gebrakan dari berita baru. mulai ikn nabrak konstitusi tapera ngubah ketentuan umur semua aja diubah lah taiiiii,Negatif,sumpah mumet lihat negara regulasi ubah gebrak berita ikn nabrak konstitusi tapera ngubah umur ubah taiiiii
@Dandhy_Laksono Yauda si inikan ngasih kesempatan ke anak muda lagian track record nya aman aja kok (bismillah rumah di IKN+tunjangan seumur hidup),Positif,yauda ngasih anak muda track record nya aman bismillah rumah ikn tunjang umur hidup
@BosPurwa Klo kata saya sih Si Bungsu menang Pilgub Jakarta tiba2 aja IKN gak jd pindah... Liat aja... #hahaha... Semua aturan bisa disulap yg penting Ketua DPRnya harus bodoh...,Negatif,bungsu menang pilgub jakarta ikn pindah liat hahaha atur sulap ketua dprnya bodoh
Panglima Pajaji Dayak Tolak IKN https://t.co/XAa7O2Lyit,Negatif,panglima pajaji dayak tolak ikn
Feeling ini pejabat2 negara sedang punya rencana besar kayanya...publik sengaja dikasih banyak isu kontroversial (UKT Tapera penyiaran dll) biar bingung Mirip analogi sembunyikan daun di hutan Mungkin isu korupsi triliunan yang disembunyiin atau IKN ga ngerti,Negatif,feeling jabat negara rencana kaya publik sengaja kasih isu kontroversial ukt tapera siar biar bingung analogi sembunyi daun hutan isu korupsi triliun disembunyiin ikn ngerti
@tanyakanrl setengah buat bayar bunga hutang itu juga kalau cukup setengahnya lagi buat bangun IKN,Negatif,bayar bunga hutang bangun ikn
Susah amat buat bilang inflasi atau kegagalan ekonomi. adaaa aja bahasa lain yg dipake biasanya njelimet. Kalo di Indo harga jdi serba mahal karna dananya dialihkan ke proyek IKN kalo USA karna dananya disetor ke Israel,Negatif,susah bilang inflasi gagal ekonomi adaaa bahasa pakai njelimet indo harga jdi serba mahal karna dana alih proyek ikn usa karna dana setor israel
@tanyakanrl Buat IKN kali ya wkwkw,Negatif,ikn kali wkwkw
@TirtoID Ya lebih gampang lg klo pajak besarnya ke pengusaha besar sm pejabat tinggi beuh ikn bs jd beverly hills,Negatif,gampang pajak usaha jabat beuh ikn beverly hills
Yang ngomong rezim yang mengikhlaskan kan uang haji buat biaya ikn,Negatif,ngomong rezim ikhlas uang haji biaya ikn
@Boediantar4 Itu kedok si joki aja duitnya buat ikn.,Negatif,kedok joki duit ikn
Jadi kalau sukarela gak bayar gak masalah kok malah main potong dik cebong ? Di tentukan 3 % itu sukarela ? Dana haji yg mau di pakai bangun IKN itu ya kalau gak kembali siapa yg tanggung ? Atau kalau di korupsi .,Negatif,sukarela bayar main potong dik cebong sukarela dana haji pakai bangun ikn tanggung korupsi
@poncoiskandar30 AKWOKOWKEO bagusan rumah tapera bg dibanding rumah menteri di IKN.,Negatif,akwokowkeo bagus rumah tapera banding rumah menteri ikn
@kompascom Iya uangnya akan berubah jadi gedung dan infrastruktur IKN kan pak? Rakyat tidak butuh IKN kok malah bangun IKN? Dan lbh parahnya lg skrg rakyat diperas utk modalin bangun IKN. Apakah tdk cukup hapus subsidi BBM &amp,Negatif,iya uang ubah gedung infrastruktur ikn rakyat butuh ikn bangun ikn parah rakyat peras modalin bangun ikn hapus subsidi bbm
